Subject,Institution,Course Name,Course Url,Duration,Provider
Humanities Courses,University of Groningen,Introduction to Dutch,https://classcentral.com/course/dutch-3014,"3 hours a week,3 weeks long",FutureLearn
Humanities Courses,Princeton University,HOPE: Human Odyssey to Political Existentialism,https://classcentral.com/course/edx-hope-human-odyssey-to-political-existentialism-11584,"3-5 hours a week,10 weeks long",edX
Humanities Courses,University of Pennsylvania,Modern & Contemporary American Poetry (“ModPo”),https://classcentral.com/course/modpo-356,"5-10 hours a week,10 weeks long",Coursera
Data Science Courses,Johns Hopkins University,Data Science in Real Life,https://classcentral.com/course/real-life-data-science-4389,"7 hours worth of material,1 weeks long",Coursera
Mathematics Courses,The Hong Kong University of Science and Technology,Differential Equations for Engineers,https://classcentral.com/course/differential-equations-engineers-13258,"5 hours a week,6 weeks long",Coursera
Mathematics Courses,The Hong Kong University of Science and Technology,Fibonacci Numbers and the Golden Ratio,https://classcentral.com/course/fibonacci-6684,"3 hours a week,3 weeks long",Coursera
Mathematics Courses,The Hong Kong University of Science and Technology,Vector Calculus for Engineers,https://classcentral.com/course/vector-calculus-engineers-17387,"4 hours a week,4 weeks long",Coursera
Mathematics Courses,"Doon University, Dehradun",Mathematical Economics,https://classcentral.com/course/swayam-mathematical-economics-14187,15 weeks long,Swayam
Computer Science Courses,"University of California, Davis",Computational Social Science Methods,https://classcentral.com/course/computational-social-science-methods-17299,"2-5 hours a week,4 weeks long",Coursera
Computer Science Courses,École Polytechnique Fédérale de Lausanne,Functional Program Design in Scala,https://classcentral.com/course/progfun2-1186,"5-7 hours a week,5 weeks long",Coursera
Humanities Courses,The University of Sheffield,Literature of the English Country House,https://classcentral.com/course/country-house-literature-2028,8 weeks long,FutureLearn
Humanities Courses,Tsinghua University,Tsinghua Chinese: Start Talking with 1.3 Billion People,https://classcentral.com/course/edx-tsinghua-chinese-start-talking-with-1-3-billion-people-5426,"2-3 hours a week,6 weeks long",edX
Humanities Courses,University of Edinburgh,Introduction to Philosophy,https://classcentral.com/course/introphil-418,"1-2 hours a week,5 weeks long",Coursera
